# ---------------------------------- WARNING ----------------------------------------																																								
# Some of the data that you have obtained from this U.S. Geological Survey database																																								
# may not have received Director's approval. Any such data values are qualified																																								
# as provisional and are subject to revision. Provisional data are released on the																																								
# condition that neither the USGS nor the United States Government may be held liable																																								
# for any damages resulting from its use.																																								
#																																								
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/																																								
#																																								
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output																																								
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals																																								
#																																								
# Contact:   gs-w_waterdata_support@usgs.gov																																								
# retrieved: 2024-03-27 11:08:54 EDT       (sdww01)																																								
#																																								
# Data for the following 1 site(s) are contained in this file																																								
USGS	1646500	3/23/23	9.8	A	12.7	A	317	A	312	A	314	A	8.5	A	8.3	A	8.3	A	12.5	A	10.8	A	11.7	A	9.3	A	2.6	A	5.3	A	1.37	A	1.36	A	1.34	A	11.1	A	6230	A
USGS	1646500	3/24/23	11.9	A	12.5	A	352	A	313	A	325	A	8.4	A	8.1	A	8.2	A	11.9	A	10	A	10.6	A	9.9	A	2.9	A	4.6	A	1.34	A	1.32	A	1.3	A	12.2	A	6380	A
USGS	1646500	3/25/23	10.8	A	12	A	346	A	296	A	312	A	8.2	A	8	A	8	A	11.3	A	10.3	A	10.7	A	8.5	A	3.7	A	5.7	A	1.3	A	1.23	A	1.18	A	11.1	A	7550	A
USGS	1646500	3/26/23	10.4	A	12.7	A	309	A	300	A	307	A	8.4	A	8	A	8.2	A	12.4	A	10.7	A	11.4	A	10.2	A	3.6	A	5.5	A	1.3	A	1.27	A	1.22	A	11.3	A	9920	A
USGS	1646500	3/27/23	11.2	A	11.8	A	311	A	305	A	309	A	8.3	A	8	A	8.1	A	11.5	A	10.7	A	11.1	A	15.6	A	5.3	A	8.9	A	1.36	A	1.32	A	1.27	A	11.5	A	17100	A
USGS	1646500	3/28/23	10.9	A	11.8	A	305	A	262	A	281	A	8.1	A	8	A	8	A	11.8	A	11.1	A	11.4	A	17.1	A	8.8	A	12.4	A	1.28	A	1.15	A	1.05	A	11.4	A	18000	A
USGS	1646500	3/29/23	11	A	12.3	A	264	A	238	A	246	A	8.1	A	7.9	A	8	A	11.8	A	10.9	A	11.3	A	16.4	A	9.6	A	12.4	A	1.1	A	1.08	A	1.05	A	11.8	A	15300	A
USGS	1646500	3/30/23	11.5	A	12.7	A	244	A	242	A	243	A	8.2	A	7.9	A	8	A	12	A	10.8	A	11.3	A	13.5	A	7.2	A	9.7	A	1.09	A	1.08	A	1.07	A	12	A	12800	A
USGS	1646500	3/31/23	11.7	A	12.1	A	246	A	242	A	244	A	8.2	A	8	A	8.1	A	11.7	A	10.7	A	11.1	A	10.1	A	5.5	A	7.5	A	1.09	A	1.08	A	1.07	A	11.9	A	11000	A
USGS	1646500	4/1/23	11.8	A	14.2	A	273	A	245	A	256	A	8.3	A	8	A	8.1	A	11.3	A	10.3	A	10.7	A	67.8	A	4.8	A	12.2	A	1.11	A	1.09	A	1.08	A	12.9	A	9980	A
USGS	1646500	4/2/23	12.3	A	14	A	267	A	260	A	262	A	8.3	A	8	A	8.1	A	11.6	A	9.9	A	10.7	A	18.1	A	6.4	A	9.4	A	1.12	A	1.1	A	1.08	A	13	A	9230	A
USGS	1646500	4/3/23	12	A	14.9	A	264	A	259	A	261	A	8.4	A	8.1	A	8.2	A	11.6	A	10.2	A	10.9	A	9.6	A	3.7	A	6.1	A	1.12	A	1.09	A	1.06	A	13.3	A	8630	A
USGS	1646500	4/4/23	13.3	A	16.7	A	270	A	264	A	266	A	8.5	A	8.2	A	8.2	A	11.4	A	9.8	A	10.6	A	8	A	3.2	A	5	A	1.08	A	1.04	A	1.01	A	14.9	A	8290	A
USGS	1646500	4/5/23	15.3	A	18.6	A	274	A	270	A	272	A	8.5	A	8.1	A	8.3	A	10.9	A	9.2	A	10.1	A	7.9	A	2.7	A	4.6	A	1.03	A	0.99	A	0.97	A	16.9	A	8520	A
USGS	1646500	4/6/23	17.4	A	19.8	A	294	A	274	A	276	A	8.5	A	8.1	A	8.3	A	10.6	A	8.7	A	9.5	A	10	A	2.6	A	4.7	A	0.98	A	0.95	A	0.93	A	18.5	A	8610	A
USGS	1646500	4/7/23	16.2	A	18.7	A	306	A	278	A	285	A	8.2	A	8	A	8	A	9.9	A	8.2	A	9	A	13.9	A	2.9	A	6.2	A	0.94	A	0.92	A	0.9	A	17.5	A	8210	A
USGS	1646500	4/8/23	14.4	A	16.2	A	283	A	279	A	280	A	8.4	A	8	A	8.2	A	11.3	A	9.4	A	10.2	A	5.5	A	2.6	A	3.5	A	0.91	A	0.89	A	0.85	A	15.3	A	7740	A
USGS	1646500	4/9/23	13.7	A	15.9	A	285	A	281	A	283	A	8.4	A	8.1	A	8.2	A	11.6	A	9.6	A	10.6	A	9.6	A	2	A	3.5	A	0.88	A	0.86	A	0.84	A	14.7	A	7300	A
USGS	1646500	4/10/23	13.8	A	16.8	A	286	A	282	A	284	A	8.5	A	8.2	A	8.3	A	11.5	A	9.6	A	10.6	A	8.2	A	1.9	A	3.3	A	0.85	A	0.83	A	0.81	A	15.2	A	6930	A
USGS	1646500	4/11/23	14.5	A	17.9	A	287	A	281	A	284	A	8.6	A	8.3	A	8.4	A	11.2	A	9.4	A	10.3	A	6.1	A	2	A	3.3	A	0.81	A	0.8	A	0.78	A	16.1	A	6460	A
USGS	1646500	4/12/23	15.8	A	19.2	A	292	A	283	A	287	A	8.5	A	8.3	A	8.4	A	10.8	A	8.9	A	9.9	A	6.3	A	2	A	3.5	A	0.81	A	0.79	A	0.77	A	17.4	A	6100	A
USGS	1646500	4/13/23	17.2	A	20.5	A	293	A	285	A	289	A	8.5	A	8.3	A	8.4	A	10.6	A	8.5	A	9.6	A	6.3	A	1.4	A	2.7	A	0.78	A	0.76	A	0.74	A	18.8	A	5770	A
USGS	1646500	4/14/23	18.4	A	20.9	A	296	A	286	A	291	A	8.5	A	8.3	A	8.4	A	9.9	A	8.2	A	9.2	A	6.6	A	1.2	A	2.4	A	0.75	A	0.74	A	0.73	A	19.8	A	5530	A
USGS	1646500	4/15/23	19.4	A	21.7	A	302	A	292	A	297	A	8.4	A	8.2	A	8.3	A	9.6	A	7.9	A	8.8	A	4.3	A	1.3	A	2.1	A	0.76	A	0.74	A	0.72	A	20.5	A	5440	A
USGS	1646500	4/16/23	20	A	22.2	A	305	A	294	A	299	A	8.4	A	8.1	A	8.3	A	9.4	A	7.7	A	8.6	A	4.6	A	1.4	A	2.4	A	0.76	A	0.75	A	0.73	A	21.2	A	5250	A
USGS	1646500	4/17/23	19.8	A	21.7	A	310	A	299	A	305	A	8.3	A	8	A	8.2	A	9.2	A	7.6	A	8.5	A	26.7	A	1.9	A	4.2	A	0.76	A	0.74	A	0.73	A	20.7	A	5660	A
USGS	1646500	4/18/23	18.5	A	20.4	A	313	A	303	A	309	A	8.3	A	8	A	8.2	A	9.6	A	7.8	A	8.7	A	5.2	A	1.8	A	3.1	A	0.82	A	0.77	A	0.75	A	19.4	A	5400	A
USGS	1646500	4/19/23	17.6	A	20.2	A	318	A	301	A	307	A	8.3	A	8.1	A	8.2	A	9.7	A	8.2	A	9	A	5.1	A	1.8	A	3.1	A	0.82	A	0.79	A	0.77	A	19	A	5270	A
USGS	1646500	4/20/23	17.6	A	21.2	A	312	A	303	A	307	A	8.3	A	8	A	8.2	A	9.5	A	8.4	A	9	A	5.3	A	1.8	A	3.3	A	0.77	A	0.73	A	0.71	A	19.5	A	5040	A
USGS	1646500	4/21/23	19.3	A	22.7	A	314	A	302	A	307	A	8.3	A	8	A	8.2	A	9.1	A	8	A	8.5	A	5.6	A	1.7	A	3.4	A	0.73	A	0.71	A	0.69	A	21.1	A	4640	A
USGS	1646500	4/22/23	20.1	A	21.6	A	323	A	302	A	311	A	8.3	A	7.8	A	8.1	A	8.6	A	7.1	A	7.8	A	11.1	A	2	A	4.7	A	0.76	A	0.69	A	0.67	A	21.1	A	4620	A
USGS	1646500	4/23/23	19.1	A	20.4	A	331	A	304	A	311	A	8.1	A	7.7	A	8	A	8.4	A	6.7	A	7.6	A	12.3	A	3.2	A	6.4	A	0.78	A	0.73	A	0.71	A	19.8	A	4790	A
USGS	1646500	4/24/23	17.6	A	19.6	A	316	A	310	A	313	A	8.1	A	7.9	A	8	A	9.1	A	7.8	A	8.4	A	7.3	A	2.3	A	4.4	A	0.73	A	0.71	A	0.69	A	18.6	A	4510	A
USGS	1646500	4/25/23	16.3	A	18.9	A	322	A	314	A	316	A	8.2	A	7.9	A	8.1	A	9.3	A	8.3	A	8.9	A	7.2	A	2.1	A	4	A	0.72	A	0.71	A	0.69	A	17.8	A	4430	A
USGS	1646500	4/26/23	16	A	18.8	A	323	A	317	A	320	A	8.2	A	8	A	8.2	A	9.4	A	8.5	A	9	A	9.9	A	2	A	4.7	A	0.73	A	0.72	A	0.7	A	17.5	A	4190	A
USGS	1646500	4/27/23	16.2	A	19.5	A	332	A	323	A	327	A	8.3	A	7.9	A	8.2	A	9.3	A	8.2	A	9	A	15.5	A	2.2	A	5.6	A	0.77	A	0.74	A	0.72	A	18	A	4070	A
USGS	1646500	4/28/23	16	A	18.6	A	332	A	299	A	324	A	8.2	A	7.8	A	8.1	A	9.1	A	8.2	A	8.5	A	10.8	A	2.4	A	5	A	0.74	A	0.72	A	0.68	A	17.5	A	4630	A
USGS	1646500	4/29/23	15	A	16.8	A	306	A	259	A	284	A	8	A	7.8	A	7.9	A	9.4	A	8.5	A	9	A	11.5	A	6.1	A	9.4	A	0.73	A	0.68	A	0.63	A	15.8	A	7180	A
USGS	1646500	4/30/23	16	A	16.8	A	312	A	233	A	280	A	8	A	7.7	A	7.9	A	9.1	A	8.7	A	8.9	A	28.6	A	5.7	A	12.2	A	0.88	A	0.73	A	0.68	A	16.3	A	10600	A
USGS	1646500	5/1/23	14.6	A	16	A	276	A	256	A	265	A	7.9	A	7.8	A	7.9	A	10.1	A	9.1	A	9.7	A	70.1	A	12.8	A	34.3	A	1.21	A	0.98	A	0.87	A	15.5	A	21100	A
USGS	1646500	5/2/23	13.8	A	14.6	A	284	A	252	A	267	A	7.9	A	7.8	A	7.9	A	10.5	A	10.1	A	10.4	A	73.2	A	29.4	A	50.8	A	1.28	A	1.08	A	0.91	A	14.2	A	27300	A
USGS	1646500	5/3/23	13.4	A	14.2	A	276	A	226	A	253	A	7.9	A	7.9	A	7.9	A	10.6	A	10.4	A	10.5	A	39.4	A	22.1	A	30	A	0.92	A	0.88	A	0.84	A	13.9	A	25800	A
USGS	1646500	5/4/23	12.9	A	14.2	A	226	A	206	A	216	A	7.9	A	7.9	A	7.9	A	10.8	A	10.4	A	10.6	A	36.9	A	12.8	A	20.9	A	0.93	A	0.9	A	0.88	A	13.4	A	20600	A
USGS	1646500	5/5/23	13.3	A	15.1	A	206	A	199	A	203	A	8	A	7.8	A	7.9	A	10.8	A	10.2	A	10.5	A	32.5	A	12.4	A	17.4	A	0.97	A	0.95	A	0.92	A	14.2	A	17700	A
USGS	1646500	5/6/23	14.4	A	16.4	A	199	A	193	A	197	A	8	A	7.8	A	7.9	A	10.6	A	9.9	A	10.3	A	25.8	A	13.3	A	17.4	A	0.97	A	0.96	A	0.95	A	15.3	A	17700	A
USGS	1646500	5/7/23	15.4	A	16.5	A	203	A	193	A	196	A	7.9	A	7.8	A	7.9	A	10.3	A	9.7	A	10	A	20.7	A	11.7	A	15.7	A	0.96	A	0.93	A	0.89	A	15.9	A	16500	A
USGS	1646500	5/8/23	16.2	A	17.6	A	211	A	203	A	207	A	8	A	7.8	A	7.9	A	10	A	9.4	A	9.7	A	17.2	A	9.6	A	13.5	A	0.9	A	0.88	A	0.87	A	16.9	A	14100	A
USGS	1646500	5/9/23	17.4	A	17.9	A	220	A	211	A	215	A	8	A	7.8	A	7.9	A	9.6	A	9.1	A	9.3	A	14.2	A	7.8	A	10.7	A	0.91	A	0.9	A	0.88	A	17.7	A	12100	A
USGS	1646500	5/10/23	17.1	A	18.7	A	231	A	219	A	226	A	8	A	7.9	A	7.9	A	9.9	A	9.1	A	9.5	A	14.5	A	7.5	A	9.6	A	0.92	A	0.91	A	0.89	A	17.8	A	11300	A
USGS	1646500	5/11/23	17.7	A	19.5	A	234	A	230	A	232	A	8.1	A	7.9	A	8	A	10	A	9	A	9.4	A	17.2	A	7.3	A	10.8	A	0.91	A	0.89	A	0.87	A	18.5	A	12100	A
USGS	1646500	5/12/23	18.6	A	20.7	A	233	A	226	A	229	A	8	A	7.9	A	7.9	A	9.5	A	8.9	A	9.2	A	24.7	A	11.3	A	16.6	A	0.87	A	0.82	A	0.77	A	19.7	A	18800	A
USGS	1646500	5/13/23	19.7	A	20.8	A	226	A	215	A	221	A	7.9	A	7.8	A	7.9	A	9.2	A	8.8	A	9	A	22.2	A	10	A	14.1	A	0.78	A	0.7	A	0.66	A	20.1	A	15600	A
USGS	1646500	5/14/23	19.3	A	20.7	A	216	A	212	A	214	A	7.9	A	7.8	A	7.9	A	9.4	A	8.8	A	9.1	A	19	A	10.4	A	14.7	A	0.82	A	0.73	A	0.66	A	20	A	12900	A
USGS	1646500	5/15/23	19.5	A	21	A	233	A	214	A	223	A	8	A	7.8	A	7.9	A	9.4	A	8.6	A	9	A	17.4	A	10.5	A	13.5	A	0.88	A	0.84	A	0.81	A	20.2	A	11000	A
USGS	1646500	5/16/23	20.2	A	21.7	A	251	A	233	A	243	A	8.1	A	7.9	A	8	A	9.2	A	8.4	A	8.7	A	12.5	A	6.7	A	9.6	A	0.86	A	0.85	A	0.84	A	20.8	A	9620	A
USGS	1646500	5/17/23	20.5	A	22	A	260	A	251	A	255	A	8.2	A	7.9	A	8	A	9.2	A	8.1	A	8.6	A	12.7	A	6.3	A	9.1	A	0.85	A	0.83	A	0.82	A	21.1	A	9430	A
USGS	1646500	5/18/23	20	A	21.9	A	261	A	258	A	260	A	8.3	A	8	A	8.1	A	9.9	A	8.2	A	9	A	8.5	A	4	A	6.2	A	0.82	A	0.79	A	0.77	A	20.8	A	8360	A
USGS	1646500	5/19/23	19.7	A	21.6	A	266	A	261	A	263	A	8.3	A	8	A	8.1	A	9.8	A	8.6	A	9.2	A	9.6	A	3.9	A	5.3	A	0.77	A	0.74	A	0.71	A	20.6	A	7550	A
USGS	1646500	5/20/23	19.8	A	22.6	A	267	A	260	A	265	A	8.4	A	8	A	8.1	A	10.2	A	8.5	A	9.3	A	7.2	A	2.4	A	4.1	A	0.72	A	0.68	A	0.64	A	21.1	A	6630	A
USGS	1646500	5/21/23	20.8	A	23.4	A	283	A	259	A	268	A	8.5	A	7.9	A	8.2	A	10.2	A	7.9	A	9	A	17.4	A	2.7	A	5.6	A	0.69	A	0.65	A	0.6	A	21.9	A	6080	A
USGS	1646500	5/22/23	21.2	A	23.9	A	264	A	255	A	258	A	8.5	A	8	A	8.3	A	10.2	A	8	A	9.1	A	15.6	A	1.5	A	4.4	A	0.61	A	0.6	A	0.58	A	22.6	A	5370	A
USGS	1646500	5/23/23	21.8	A	24.1	A	266	A	258	A	264	A	8.7	A	8.1	A	8.4	A	10.6	A	8	A	9.3	A	6.1	A	1.5	A	2.5	A	0.61	A	0.59	A	0.57	A	23	A	4940	A
USGS	1646500	5/24/23	21.4	A	24.4	A	273	A	266	A	270	A	8.8	A	8.2	A	8.5	A	11	A	8	A	9.6	A	3.2	A	1.3	A	1.9	A	0.58	A	0.54	A	0.51	A	23	A	4560	A
USGS	1646500	5/25/23	21.5	A	24.8	A	280	A	271	A	275	A	8.9	A	8.2	A	8.7	A	11.6	A	7.9	A	9.9	A	3	A	1.1	A	1.8	A	0.52	A	0.47	A	0.43	A	23.3	A	4200	A
USGS	1646500	5/26/23	21.5	A	24.5	A	284	A	273	A	277	A	9	A	8.3	A	8.8	A	12.3	A	7.9	A	10.3	A	5.5	A	1	A	1.9	A	0.46	A	0.4	A	0.35	A	23.3	A	3920	A
USGS	1646500	5/27/23	21.5	A	24.5	A	284	A	274	A	278	A	9.1	A	8.4	A	8.9	A	12.1	A	8	A	10.6	A	8	A	1	A	1.7	A	0.4	A	0.34	A	0.3	A	23.3	A	3690	A
USGS	1646500	5/28/23	21.8	A	23.8	A	285	A	275	A	278	A	9	A	8.4	A	8.9	A	11.6	A	8	A	10.3	A	2.8	A	1	A	1.6	A	0.33	A	0.31	A	0.28	A	23.1	A	3920	A
USGS	1646500	5/29/23	22	A	23.2	A	292	A	277	A	283	A	8.9	A	8.3	A	8.7	A	10.7	A	7.7	A	9.1	A	7.8	A	1	A	2	A	0.34	A	0.31	A	0.3	A	22.7	A	3910	A
USGS	1646500	5/30/23	21.3	A	23.6	A	302	A	280	A	288	A	8.7	A	8	A	8.4	A	10	A	7.4	A	8.8	A	3.2	A	1.2	A	1.9	A	0.4	A	0.37	A	0.34	A	22.5	A	3470	A
USGS	1646500	5/31/23	21.6	A	24.8	A	288	A	281	A	286	A	8.7	A	8.2	A	8.6	A	10.1	A	7.8	A	9.2	A	2.6	A	1	A	1.4	A	0.37	A	0.34	A	0.31	A	23.3	A	3130	A
USGS	1646500	6/1/23	22.5	A	25.7	A	297	A	288	A	294	A	8.6	A	8.2	A	8.5	A	9.6	A	7.4	A	8.7	A	1.9	A	0.8	A	1.3	A	0.32	A	0.3	A	0.28	A	24.1	A	3020	A
USGS	1646500	6/2/23	23.6	A	26.9	A	300	A	295	A	297	A	8.5	A	8.1	A	8.4	A	9.1	A	7	A	8.2	A	4.2	A	0.8	A	1.5	A	0.31	A	0.29	A	0.28	A	25.1	A	2840	A
USGS	1646500	6/3/23	25.3	A	27.5	A	302	A	296	A	299	A	8.4	A	8	A	8.3	A	8.7	A	6.6	A	7.8	A	4.1	A	0.8	A	1.5	A	0.29	A	0.27	A	0.26	A	26.3	A	2510	A
USGS	1646500	6/4/23	25.1	A	26.8	A	305	A	300	A	302	A	8.4	A	8.1	A	8.3	A	8.5	A	6.6	A	7.7	A	1.8	A	0.7	A	1.3	A	0.28	A	0.26	A	0.25	A	26	A	2450	A
USGS	1646500	6/5/23	24.6	A	26.1	A	314	A	305	A	309	A	8.3	A	8	A	8.2	A	8.4	A	6.6	A	7.6	A	2.4	A	0.9	A	1.5	A	0.27	A	0.26	A	0.24	A	25.5	A	2350	A
USGS	1646500	6/6/23	24.1	A	25.5	A	322	A	311	A	316	A	8.3	A	8.1	A	8.2	A	8.7	A	6.8	A	7.7	A	4.9	A	1.1	A	1.9	A	0.29	A	0.27	A	0.26	A	24.8	A	2140	A
USGS	1646500	6/7/23	24.1	A	25.3	A	329	A	319	A	324	A	8.3	A	8.2	A	8.3	A	8.6	A	7.3	A	7.9	A	3.3	A	1	A	1.7	A	0.3	A	0.28	A	0.26	A	24.7	A	2090	A
USGS	1646500	6/8/23	23.6	A	24.7	A	329	A	325	A	327	A	8.3	A	8.1	A	8.2	A	8.6	A	7	A	7.8	A	5.5	A	1.4	A	2.5	A	0.28	A	0.27	A	0.26	A	24.3	A	2160	A
USGS	1646500	6/9/23	23.4	A	24.3	A	331	A	326	A	328	A	8.3	A	8.2	A	8.3	A	8.4	A	7.3	A	7.9	A	6.8	A	1.3	A	2.9	A	0.28	A	0.27	A	0.26	A	23.7	A	1910	A
USGS	1646500	6/10/23	22.7	A	24.6	A	331	A	324	A	328	A	8.4	A	8.2	A	8.3	A	9	A	7.8	A	8.3	A	3.7	A	1.2	A	2.2	A	0.28	A	0.26	A	0.25	A	23.6	A	1840	A
USGS	1646500	6/11/23	23.4	A	25.7	A	335	A	327	A	330	A	8.4	A	8.2	A	8.3	A	9	A	7.6	A	8.2	A	5.3	A	1.1	A	2.7	A	0.27	A	0.25	A	0.24	A	24.4	A	1740	A
USGS	1646500	6/12/23	24.3	A	25.1	A	338	A	331	A	334	A	8.5	A	8.2	A	8.3	A	8.7	A	7.5	A	8	A	10.9	A	1.6	A	3.2	A	0.27	A	0.26	A	0.24	A	24.7	A	1700	A
USGS	1646500	6/13/23	23.5	A	25.8	A	340	A	333	A	337	A	8.4	A	8.2	A	8.3	A	9.1	A	7.5	A	8.2	A	4.1	A	1.1	A	2.4	A	0.28	A	0.26	A	0.24	A	24.6	A	1810	A
USGS	1646500	6/14/23	23.7	A	24.8	A	346	A	340	A	344	A	8.3	A	8.1	A	8.2	A	8.5	A	7.4	A	7.9	A	5.5	A	1.7	A	2.7	A	0.31	A	0.29	A	0.25	A	24.1	A	1760	A
USGS	1646500	6/15/23	23.1	A	25.4	A	348	A	342	A	345	A	8.4	A	8.2	A	8.3	A	9	A	7.6	A	8.3	A	3.9	A	1.3	A	2.3	A	0.34	A	0.32	A	0.31	A	24.2	A	1770	A
USGS	1646500	6/16/23	23.7	A	24.6	A	351	A	344	A	348	A	8.4	A	8.2	A	8.2	A	8.8	A	7.7	A	8.1	A	11.8	A	1.3	A	3.2	A	0.35	A	0.33	A	0.32	A	24.1	A	1800	A
USGS	1646500	6/17/23	23.5	A	25.1	A	353	A	350	A	351	A	8.4	A	8.2	A	8.2	A	8.8	A	7.6	A	8.1	A	7.3	A	1.4	A	3	A	0.37	A	0.35	A	0.33	A	24.3	A	1860	A
USGS	1646500	6/18/23	23.8	A	26	A	353	A	350	A	351	A	8.4	A	8.2	A	8.3	A	8.9	A	7.7	A	8.2	A	4.3	A	0.9	A	1.8	A	0.37	A	0.36	A	0.34	A	24.7	A	1840	A
USGS	1646500	6/19/23	24.4	A	26	A	354	A	348	A	352	A	8.4	A	8.2	A	8.3	A							3.1	A	1	A	1.6	A	0.37	A	0.35	A	0.34	A	25.1	A	1840	A
USGS	1646500	6/20/23	25	A	25.7	A	354	A	342	A	345	A	8.2	A	7.7	A	8	A							7	A	1.1	A	3.7	A	0.37	A	0.35	A	0.33	A	25.3	A	2120	A
USGS	1646500	6/21/23	23.5	A	25.2	A	352	A	347	A	349	A	8.2	A	7.8	A	8	A							3.8	A	1.3	A	2.2	A	0.36	A	0.34	A	0.32	A	24.2	A	2510	A
USGS	1646500	6/22/23																													0.41	A	0.39	A	0.35	A			2430	A
USGS	1646500	6/23/23	21.6	A	22.4	A	360	A	178	A	335	A	8.1	A	7.6	A	8.1	A	8.4	A	7.5	A	8	A	46.1	A	1.3	A	4.2	A	0.45	A	0.42	A	0.38	A	21.9	A	3170	A
USGS	1646500	6/24/23	21.7	A	24	A	308	A	129	A	222	A	8	A	7.4	A	7.6	A	7.9	A	7	A	7.4	A	103	A	6.2	A	41.1	A	0.5	A	0.44	A	0.38	A	22.6	A	3110	A
USGS	1646500	6/25/23	23.4	A	26.4	A	341	A	308	A	326	A	8.2	A	7.8	A	8	A	8.5	A	6.9	A	7.8	A	7.1	A	1.9	A	4.4	A	0.52	A	0.5	A	0.49	A	24.8	A	3030	A
USGS	1646500	6/26/23	25.4	A	27.8	A	352	A	341	A	348	A	8.4	A	8	A	8.2	A	8.4	A	6.7	A	7.7	A	2.9	A	1.2	A	2	A	0.52	A	0.51	A	0.48	A	26.6	A	3600	A
USGS	1646500	6/27/23	25.6	A	27.9	A	355	A	289	A	342	A	8.3	A	7.9	A	8.2	A	7.9	A	6.6	A	7.3	A	33.8	A	1.5	A	6.7	A	0.55	A	0.52	A	0.5	A	26.8	A	5980	A
USGS	1646500	6/28/23	25.7	A	27.1	A	350	A	300	A	336	A	8.3	A	7.9	A	8.2	A	8.8	A	6.8	A	7.7	A	25	A	2.6	A	7.3	A	0.54	A	0.5	A	0.47	A	26.3	A	6580	A
USGS	1646500	6/29/23	25.3	A	27.4	A	362	A	350	A	355	A	8.4	A	8.1	A	8.3	A	9.6	A	7.1	A	8.3	A	4	A	1.5	A	2.4	A	0.56	A	0.5	A	0.46	A	26.3	A	5310	A
USGS	1646500	6/30/23	25.6	A	27.6	A	368	A	360	A	366	A	8.4	A	8.1	A	8.3	A	8.8	A	7.2	A	8	A	3.6	A	0.9	A	2	A	0.62	A	0.59	A	0.55	A	26.7	A	4670	A
USGS	1646500	7/1/23	25.7	A	27.7	A	369	A	312	A	358	A	8.4	A	8	A	8.3	A	9.1	A	7	A	8	A	16.8	A	1	A	3.1	A	0.64	A	0.63	A	0.6	A	26.7	A	4500	A
USGS	1646500	7/2/23	25.8	A	28.4	A	336	A	304	A	327	A	8.4	A	8	A	8.2	A	9.2	A	7	A	8	A	16.8	A	1.6	A	5.3	A	0.64	A	0.62	A	0.58	A	27.2	A	4060	A
USGS	1646500	7/3/23	27.1	A	29.7	A	337	A	333	A	335	A	8.5	A	8	A	8.3	A	9.8	A	6.8	A	8.2	A	3.5	A	0.8	A	1.9	A	0.72	A	0.68	A	0.64	A	28.4	A	3580	A
USGS	1646500	7/4/23	27.6	A	29.9	A	334	A	307	A	322	A	8.4	A	8.1	A	8.3	A	8.6	A	6.8	A	7.7	A	7.1	A	1.9	A	3.8	A	0.73	A	0.69	A	0.64	A	29	A	3990	A
USGS	1646500	7/5/23	28.2	A	30.6	A	312	A	271	A	300	A	8.5	A	7.9	A	8.3	A	8.9	A	6.4	A	7.5	A	8.5	A	1.2	A	3.1	A	0.64	A	0.57	A	0.5	A	29.5	A	3830	A
USGS	1646500	7/6/23	28.7	A	30.6	A	293	A	270	A	282	A	8.5	A	8	A	8.3	A	8.9	A	6.6	A	7.6	A	9.4	A	1	A	3.1	A	0.52	A	0.48	A	0.43	A	29.7	A	3910	A
USGS	1646500	7/7/23	28.6	A	31.2	A	286	A	276	A	283	A	8.5	A	7.9	A	8.3	A	9	A	6.3	A	7.7	A	4.6	A	1.1	A	2.2	A	0.52	A	0.48	A	0.45	A	30.1	A	3740	A
USGS	1646500	7/8/23	29.1	A	31.7	A	287	A	282	A	285	A	8.6	A	7.9	A	8.3	A	9.8	A	6	A	7.9	A	2.6	A	0.8	A	1.4	A	0.49	A	0.45	A	0.42	A	30.6	A	3000	A
USGS	1646500	7/9/23	29.8	A	31	A	291	A	282	A	286	A	8.6	A	8.1	A	8.3	A	9.1	A	6.1	A	7.6	A	6.6	A	0.7	A	1.6	A	0.44	A	0.4	A	0.35	A	30.5	A	2660	A
USGS	1646500	7/10/23	28.6	A	30.6	A	295	A	286	A	289	A	8.5	A	8	A	8.3	A	8.9	A	5.9	A	7.6	A	2.7	A	1.3	A	1.8	A	0.37	A	0.35	A	0.33	A	29.7	A	2820	A
USGS	1646500	7/11/23	28.2	A	30.6	A	298	A	289	A	294	A	8.5	A	8	A	8.3	A	9.7	A	6.4	A	8	A	2.4	A	0.8	A	1.4	A	0.34	A	0.3	A	0.25	A	29.4	A	2610	A
USGS	1646500	7/12/23	28.5	A	31	A	299	A	293	A	296	A	8.6	A	8	A	8.4	A	10	A	6.1	A	8.2	A	2.4	A	0.6	A	1.2	A	0.26	A	0.22	A	0.18	A	29.7	A	2700	A
USGS	1646500	7/13/23	29	A	31.5	A	303	A	295	A	299	A	8.6	A	8.1	A	8.5	A	10.1	A	6.2	A	8.4	A	3.2	A	0.4	A	1.2	A	0.21	A	0.19	A	0.16	A	30.3	A	2620	A
USGS	1646500	7/14/23	29.4	A	31.5	A	305	A	296	A	300	A	8.6	A	8.1	A	8.4	A	9.2	A	5.8	A	7.7	A	2.8	A	0.7	A	1.7	A	0.17	A	0.16	A	0.14	A	30.4	A	2790	A
USGS	1646500	7/15/23	28.6	A	30.4	A	299	A	285	A	291	A	8.4	A	8	A	8.2	A	7.8	A	6.1	A	7	A	10.2	A	2.8	A	5.7	A	0.32	A	0.26	A	0.16	A	29.7	A	3600	A
USGS	1646500	7/16/23	28.8	A	30.9	A	311	A	296	A	303	A	8.3	A	7.8	A	8.1	A	8.3	A	5.9	A	7	A	4.2	A	1.1	A	2.3	A	0.34	A	0.32	A	0.31	A	29.7	A	2930	A
